# TYPO3 changelog index — GENERATED, do not edit by hand.
# grep-only: never read this file as a whole.
# source: local:14.3.x
# columns: number	type	version	title	tags	symbols	migration-gist	note	source	path
# note column: 'note' means notes/{number}.md exists and takes precedence.
101519	Breaking	13.0	Remove `immediate` flag in `DebounceEvent`	JavaScript NotScanned ext:core		There is no direct migration possible. An extension author either may re-implement the removed behavior manually, or use the ThrottleEvent module, providing a similar behavior.	-	local:14.3.x	13.0/Breaking-101519-RemoveImmediateFlagInDebounceEvent.rst
101544	Feature	13.0	Introduce PHP attribute to autoconfigure event listeners	Backend Frontend PHP-API ext:core	AsEventListener __invoke() ListenerProviderPass	Using the PHP attribute AsEventListener, it is now possible to tag any PHP class as an event listener.	-	local:14.3.x	13.0/Feature-101544-IntroducePHPAttributeToAutoconfigureEventListeners.rst
101553	Feature	13.0	Auto-create DB fields from TCA columns	TCA ext:core NotScanned	columns ctrl dbFieldLength select type=select DefaultTcaSchema type = 'category' type = 'datetime' type = 'slug' type = 'json' type = 'uuid' type = 'file' type = 'email' type = 'check' type = 'folder' type = 'imageManipulation' type = 'language' type = 'group' type = 'flex' type = 'text' type = 'password' type = 'color' type = 'radio' type = 'link' type = 'inline' type = 'number' type = 'select' type = 'input' nullable	Extension authors should start removing single column definitions from ext_tables.sql for extensions being compatible with TYPO3 v13 and up.	-	local:14.3.x	13.0/Feature-101553-Auto-createDBFieldsFromTCAColumns.rst
101554	Deprecation	13.0	Obsolete TCA MM_hasUidField	TCA NotScanned ext:core	MM MM_hasUidField multiple multiple = true	Remove all occurrences of php:`MM_hasUidField` from TCA. The uid column is added as primary key automatically, if multiple = true is set, otherwise a combined primary key of the fields uid_local, uid_…	-	local:14.3.x	13.0/Deprecation-101554-ObsoleteTCAMM_hasUidField.rst
101603	Breaking	13.0	Removed hook for overriding icon overlay identifier	Backend PHP-API FullyScanned ext:core	IconFactory']['overrideIconOverlay'] ModifyRecordOverlayIconIdentifierEvent	The hook is removed without deprecation in order to allow extensions to work with TYPO3 v12 (using the hook) and v13+ (using the new event) when implementing the event as well without any further depr…	-	local:14.3.x	13.0/Breaking-101603-RemovedHookForOverridingIconOverlayIdentifier.rst
101603	Feature	13.0	PSR-14 event for modifying record overlay icon identifier	Backend PHP-API ext:core	ModifyRecordOverlayIconIdentifierEvent IconFactory']['overrideIconOverlay'] setOverlayIconIdentifier() getOverlayIconIdentifier() getTable() getRow() getStatus()	It's now possible to modify the overlay icon identifier of any record icon, using the new PSR-14 event ModifyRecordOverlayIconIdentifierEvent.	-	local:14.3.x	13.0/Feature-101603-PSR-14EventForModifyingRecordOverlayIconIdentifier.rst
101612	Breaking	13.0	LinkParameterProviderInterface changed	PHP-API PartiallyScanned ext:backend	LinkParameterProviderInterface getScriptUrl() isCurrentlySelectedItem() getUrlParameters() array	For extensions implementing the interface, the return type for getUrlParameters() can be added in order to be TYPO3 v12+ compatible.	-	local:14.3.x	13.0/Breaking-101612-LinkParameterProviderInterfaceChanged.rst
101612	Feature	13.0	UriBuilder->buildUriFromRequest	Backend PHP-API ext:backend	UriBuilder $this->uriBuilder->buildUriFromRequest($request, ['id' => $id]);	This is typically useful when linking to the current route or module in the TYPO3 backend for extension authors to avoid internals with any PSR-7 request attribute.	-	local:14.3.x	13.0/Feature-101612-UriBuilder-buildUriFromRequest.rst
101647	Breaking	13.0	Unused graphical assets removed from EXT:backend	Backend NotScanned ext:backend		No direct migration is available.	-	local:14.3.x	13.0/Breaking-101647-UnusedGraphicalAssetsRemovedFromEXTbackend.rst
101671	Breaking	13.0	Disable external linktypes by default in EXT:linkvalidator	Backend NotScanned ext:linkvalidator	ExternalLinktype	Either leave external link checking deactivated or find ways to mitigate the problems with external link checking.	-	local:14.3.x	13.0/Breaking-101671-DisableExternalLinktypesByDefaultInEXTlinkvalidator.rst
